City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mataura,-46.1927,168.8643,17.94,48,88,2.73,NZ,1673049226
1,barrow,71.2906,-156.7887,-19.99,77,100,9.77,US,1673049227
2,hermanus,-34.4187,19.2345,13.78,75,0,4.88,ZA,1673048997
3,mount gambier,-37.8333,140.7667,27.95,24,0,3.42,AU,1673049054
4,klaksvik,62.2266,-6.589,-0.49,62,90,2.97,FO,1673049227
5,puerto ayora,-0.7393,-90.3518,23.64,94,38,1.34,EC,1673049228
6,totness,5.8833,-56.3167,25.14,87,100,5.5,SR,1673049228
7,pevek,69.7008,170.3133,-33.07,98,99,0.55,RU,1673049229
8,ostrovnoy,68.0531,39.5131,-15.94,93,91,1.42,RU,1673049229
9,rikitea,-23.1203,-134.9692,25.97,73,5,5.19,PF,1673049230
10,albany,42.6001,-73.9662,4.01,84,92,3.13,US,1673049231
11,nishihara,26.1842,127.7558,17.6,55,20,9.26,JP,1673049231
12,ushuaia,-54.8,-68.3,13.81,47,20,3.6,AR,1673049232
13,geraldton,-28.7667,114.6,19.23,68,0,8.75,AU,1673049232
14,jamestown,42.097,-79.2353,0.86,72,100,2.68,US,1673049131
15,busselton,-33.65,115.3333,17.27,61,63,4.8,AU,1673049233
16,codrington,-38.2667,141.9667,25.96,32,9,2.52,AU,1673049234
17,nikolskoye,59.7035,30.7861,-8.06,99,87,1.32,RU,1673049234
18,bengkulu,-3.8004,102.2655,23.41,88,89,1.62,ID,1673049235
19,abatskoye,56.2875,70.4555,-11.81,94,100,4.75,RU,1673049235
20,cayenne,4.9333,-52.3333,23.02,94,75,2.06,GF,1673049236
21,punta arenas,-53.15,-70.9167,17.06,31,0,2.57,CL,1673049236
22,hun,29.1268,15.9477,11.28,50,3,1.47,LY,1673049033
23,mar del plata,-38.0023,-57.5575,25.46,78,0,7.15,AR,1673049237
24,petropavlovsk-kamchatskiy,53.0452,158.6483,-20.67,77,0,4.0,RU,1673049189
25,mayor pablo lagerenza,-19.9309,-60.7718,26.14,34,27,1.1,PY,1673049237
26,muhos,64.808,25.9931,-22.12,99,74,1.87,FI,1673049238
27,popondetta,-8.7537,148.2534,26.92,83,100,0.37,PG,1673049238
28,san policarpo,12.1791,125.5072,26.93,76,100,7.15,PH,1673049239
29,clyde river,70.4692,-68.5914,-32.87,75,0,2.06,CA,1673049239
30,hobart,-42.8794,147.3294,19.59,64,75,3.6,AU,1673048493
31,faya,18.3851,42.4509,11.29,82,6,1.61,SA,1673049240
32,cape town,-33.9258,18.4232,19.65,73,0,8.23,ZA,1673049031
33,khatanga,71.9667,102.5,-44.81,99,94,0.6,RU,1673049241
34,whitehorse,60.7161,-135.0538,-10.5,89,100,2.06,CA,1673049241
35,paita,-5.0892,-81.1144,20.33,82,85,7.56,PE,1673049189
